Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-09-26 00:25:57;2021-09-26 10:04:26;100%;76%;Good;55;10444;Normal;99.7;Boardman;11.1;34709.6;31123.0;2545.4;2021-09-26 10:00:00;2021-09-26 10:00:00;true;60.0;66.4;Partly cloudy;Energy Drink - During Day:Good day:Late Night TV:Stressful day:Tired:Worked out
2021-09-26 22:23:02;2021-09-27 04:37:30;46%;63%;Good;60;4767;Normal;98.8;Hermiston;69.6;22468.7;19547.8;449.4;2021-09-27 04:30:00;2021-09-27 05:00:00;true;360.0;62.2;Fair;Good day:Tired
2021-09-27 23:15:15;2021-09-28 05:01:01;58%;60%;Good;55;11850;Normal;99.4;Hermiston;33.8;20746.5;18879.3;414.9;2021-09-28 05:00:00;2021-09-28 05:30:00;true;168.6;52.2;Sunny;Good day:Stressful day:Tired
2021-09-28 21:59:24;2021-09-29 05:08:14;58%;72%;Good;59;3956;Normal;100.1;Hermiston;59.5;25730.9;20498.9;514.6;2021-09-29 05:00:00;2021-09-29 05:30:00;true;1593.6;51.6;Cloudy;Energy Drink - During Day:Good day:Sick:Tired
2021-10-03 01:53:41;2021-10-03 09:31:17;81%;0%;;57;10753;Normal;0.0;;430.9;27455.5;22686.1;1280.7;;;false;0.0;32.0;No weather;
2021-10-03 23:42:55;2021-10-04 06:30:19;71%;57%;;56;3213;Normal;0.0;;388.4;24443.7;20357.2;2035.7;;;false;0.0;32.0;No weather;
2021-10-04 14:36:33;2021-10-04 15:32:52;12%;3%;Good;59;670;Normal;94.4;Tieton;0.0;3378.5;3310.9;67.6;2021-10-04 15:00:00;2021-10-04 15:30:00;true;856.0;64.9;Partly cloudy;Nap
2021-10-06 00:03:07;2021-10-06 08:05:32;77%;-12%;;58;2175;Normal;0.0;;429.2;28945.6;25182.7;578.9;;;false;0.0;32.0;No weather;
2021-10-06 22:59:24;2021-10-07 06:08:04;74%;-6%;;55;1804;Normal;0.0;;418.4;25720.5;21776.7;2229.1;;;false;0.0;32.0;No weather;
2021-10-08 01:04:46;2021-10-08 08:30:32;82%;32%;;63;1642;Normal;0.0;;354.1;26745.3;21574.6;534.9;;;false;0.0;32.0;No weather;
2021-10-09 01:42:47;2021-10-09 06:54:12;53%;73%;;55;10371;Normal;0.0;;409.5;18685.2;14885.9;1557.1;;;false;0.0;32.0;No weather;
2021-10-09 21:51:12;2021-10-10 07:39:26;83%;69%;;55;7012;Normal;0.0;;449.2;35294.1;29529.4;2823.5;;;false;0.0;32.0;No weather;
2021-10-10 23:59:51;2021-10-11 08:01:19;99%;74%;Good;54;4729;Normal;97.6;Yakima;61.2;28888.9;21859.3;577.8;2021-10-11 08:00:00;2021-10-11 08:30:00;true;265.0;37.4;Sunny;Energy Drink - During Day:Good day:Tired
2021-10-11 16:08:51;2021-10-11 16:40:58;7%;34%;OK;66;3472;Normal;97.7;Yakima;0.0;1926.9;1888.4;38.5;2021-10-11 16:10:00;2021-10-11 16:40:00;true;0.0;32.0;No weather;Nap
2021-10-11 22:51:10;2021-10-12 08:00:41;75%;77%;;60;7092;Normal;0.0;;586.0;32970.9;26926.2;659.4;;;false;0.0;32.0;No weather;
2021-10-12 22:37:43;2021-10-13 05:50:45;87%;83%;;53;2830;Normal;0.0;;293.0;25981.9;21565.0;2078.6;;;false;0.0;32.0;No weather;
2021-10-13 23:05:07;2021-10-14 06:29:44;78%;87%;;53;5851;Normal;0.0;;398.4;26676.9;21421.7;2399.9;;;false;0.0;32.0;No weather;
2021-10-14 23:07:09;2021-10-15 06:30:47;89%;90%;;58;3694;Normal;0.0;;272.7;26617.7;21641.7;2749.6;;;false;0.0;32.0;No weather;
2021-10-17 00:39:00;2021-10-17 06:19:25;63%;93%;;50;4680;Normal;0.0;;348.0;20425.3;15236.0;1564.4;;;false;0.0;32.0;No weather;
2021-10-20 00:01:42;2021-10-20 08:04:52;87%;80%;;61;3380;Normal;0.0;;366.0;28990.7;24922.8;579.6;;;false;0.0;32.0;No weather;
2021-10-26 02:51:10;2021-10-26 06:18:00;43%;0%;;52;7979;Normal;0.0;;210.2;12409.9;6487.1;3429.5;;;false;0.0;32.0;No weather;
2021-10-26 06:18:18;2021-10-26 06:50:40;7%;-76%;;59;182;Normal;0.0;;0.0;1942.0;615.0;1306.8;;;false;0.0;32.0;No weather;
